face_present,face_count,yaw,pitch,roll,left_EAR,right_EAR,gaze_direction,mouth_ratio,face_area,label
1,1,-3.51,30.0,-1.86,0.283,0.279,3,0.002,0.067,Normal
1,1,-3.15,30.0,-1.62,0.247,0.241,3,0.002,0.066,Normal
1,1,-3.03,30.0,-1.82,0.251,0.259,3,0.001,0.065,Normal
1,1,-2.92,30.0,-1.2,0.275,0.263,3,0.0,0.069,Normal
1,1,-2.31,30.0,-1.69,0.277,0.25,3,0.001,0.066,Normal
1,1,6.02,30.0,-0.99,0.285,0.272,3,0.003,0.062,Normal
1,1,8.78,30.0,0.5,0.282,0.316,3,0.002,0.061,Normal
1,1,8.78,30.0,0.99,0.274,0.317,3,0.003,0.063,Normal
1,1,5.5,30.0,0.31,0.257,0.298,3,0.001,0.064,Normal
1,1,4.51,30.0,0.05,0.263,0.293,3,0.004,0.059,Normal
1,1,3.7,30.0,-0.86,0.19,0.2,3,0.005,0.056,Normal
1,1,4.36,30.0,-1.3,0.181,0.229,3,0.005,0.065,Normal
1,1,0.23,30.0,-2.96,0.185,0.214,3,0.002,0.061,Normal
1,1,3.09,30.0,-1.18,0.26,0.267,3,0.0,0.058,Normal
1,1,5.59,30.0,-1.46,0.274,0.294,3,0.001,0.062,Normal
1,1,-0.63,30.0,-3.05,0.217,0.192,3,0.001,0.059,Normal
1,1,3.45,30.0,-2.32,0.181,0.193,3,0.004,0.063,Normal
1,1,4.96,30.0,-1.74,0.293,0.29,3,0.004,0.061,Normal
1,1,4.06,30.0,-1.63,0.206,0.232,3,0.005,0.063,Normal
1,1,3.9,30.0,-1.33,0.197,0.209,3,0.005,0.062,Normal
1,1,7.33,30.0,-1.39,0.174,0.209,3,0.002,0.063,Normal
1,1,0.44,30.0,-0.12,0.235,0.239,3,0.003,0.066,Normal
1,1,8.71,30.0,-0.72,0.267,0.281,3,0.003,0.065,Normal
1,1,9.22,30.0,0.21,0.276,0.287,3,0.002,0.062,Normal
1,1,11.05,30.0,0.43,0.292,0.308,3,0.002,0.063,Normal
1,1,9.8,30.0,0.39,0.267,0.322,3,0.002,0.063,Normal
1,1,6.44,30.0,-0.72,0.265,0.295,3,0.004,0.062,Normal
1,1,11.03,30.0,-0.09,0.263,0.288,3,0.003,0.063,Normal
1,1,13.33,30.0,2.16,0.275,0.3,3,0.001,0.062,Normal
1,1,14.71,30.0,2.07,0.276,0.305,3,0.003,0.057,Normal
1,1,14.47,30.0,2.4,0.267,0.298,3,0.002,0.06,Normal
1,1,13.54,30.0,1.8,0.264,0.311,3,0.003,0.059,Normal
1,1,13.68,30.0,1.28,0.272,0.289,3,0.007,0.06,Normal
1,1,14.47,30.0,1.74,0.282,0.31,3,0.006,0.06,Normal
1,1,13.82,30.0,1.92,0.263,0.305,3,0.005,0.063,Normal
1,1,13.8,30.0,1.77,0.259,0.299,3,0.002,0.063,Normal
1,1,13.69,30.0,1.14,0.241,0.261,3,0.002,0.061,Normal
1,1,12.49,30.0,0.27,0.247,0.274,3,0.001,0.06,Normal
1,1,11.56,30.0,0.52,0.255,0.272,3,0.002,0.057,Normal
1,1,8.44,30.0,-0.02,0.265,0.295,3,0.001,0.058,Normal
1,1,5.55,30.0,-1.1,0.261,0.273,3,0.005,0.052,Normal
1,1,-7.94,30.0,-2.56,0.256,0.251,3,0.001,0.056,Normal
1,1,-5.88,30.0,-2.2,0.264,0.283,3,0.002,0.061,Normal
1,1,-10.84,30.0,-4.12,0.267,0.28,3,0.001,0.056,Normal
1,1,-10.69,30.0,-4.98,0.264,0.279,3,0.002,0.057,Normal
1,1,-11.22,30.0,-4.01,0.284,0.318,3,0.003,0.059,Normal
1,1,-9.59,30.0,-3.93,0.279,0.276,3,0.003,0.057,Normal
1,1,0.59,30.0,-1.57,0.271,0.277,3,0.0,0.057,Normal
1,1,13.39,30.0,2.86,0.273,0.306,3,0.003,0.058,Normal
1,1,14.34,30.0,4.34,0.262,0.295,3,0.001,0.056,Normal
1,1,14.4,30.0,4.53,0.273,0.302,3,0.001,0.057,Normal
1,1,14.08,30.0,4.09,0.264,0.302,3,0.001,0.055,Normal
1,1,13.93,30.0,3.91,0.271,0.305,3,0.002,0.056,Normal
1,1,13.45,30.0,3.58,0.275,0.301,3,0.003,0.054,Normal
1,1,13.66,30.0,3.33,0.27,0.307,3,0.001,0.053,Normal
1,1,13.21,30.0,3.2,0.266,0.305,3,0.001,0.054,Normal
1,1,9.3,30.0,1.29,0.257,0.277,3,0.002,0.062,Normal
1,1,4.93,30.0,-0.86,0.275,0.268,3,0.001,0.056,Normal
1,1,7.57,30.0,-0.3,0.258,0.265,3,0.006,0.06,Normal
1,1,9.32,30.0,0.32,0.255,0.297,3,0.003,0.062,Normal
1,1,7.22,30.0,0.17,0.261,0.288,3,0.003,0.06,Normal
1,1,5.42,30.0,-0.69,0.265,0.268,3,0.003,0.056,Normal
1,1,5.46,30.0,-0.5,0.252,0.285,3,0.001,0.06,Normal
1,1,4.62,30.0,-1.0,0.258,0.26,3,0.003,0.055,Normal
1,1,7.04,30.0,0.33,0.188,0.213,3,0.002,0.056,Normal
1,1,8.29,30.0,4.02,0.264,0.3,3,0.002,0.061,Normal
1,1,7.0,30.0,2.32,0.267,0.304,3,0.0,0.062,Normal
1,1,5.04,30.0,0.41,0.277,0.264,3,0.002,0.064,Normal
1,1,5.16,30.0,0.14,0.28,0.283,3,0.007,0.065,Normal
1,1,4.57,30.0,0.49,0.271,0.267,3,0.005,0.067,Normal
1,1,5.73,30.0,-0.53,0.263,0.291,3,0.004,0.064,Normal
1,1,4.99,30.0,1.77,0.269,0.263,3,0.002,0.066,Normal
1,1,11.16,30.0,1.06,0.285,0.288,3,0.002,0.066,Normal
1,1,9.8,30.0,1.34,0.255,0.3,3,0.004,0.064,Normal
1,1,6.92,30.0,0.51,0.263,0.284,3,0.003,0.067,Normal
1,1,4.05,30.0,0.01,0.26,0.267,3,0.001,0.065,Normal
1,1,7.41,30.0,0.2,0.273,0.289,3,0.001,0.065,Normal
1,1,7.56,30.0,0.29,0.267,0.297,3,0.005,0.068,Normal
1,1,5.3,30.0,0.73,0.26,0.265,3,0.0,0.066,Normal
1,1,4.94,30.0,0.38,0.266,0.263,3,0.004,0.065,Normal
1,1,5.21,30.0,-0.28,0.273,0.271,3,0.004,0.067,Normal
1,1,5.06,30.0,-0.29,0.272,0.269,3,0.004,0.065,Normal
1,1,3.38,30.0,-0.28,0.266,0.272,3,0.005,0.058,Normal
1,1,4.23,30.0,-0.66,0.266,0.272,3,0.004,0.062,Normal
1,1,4.19,30.0,-0.61,0.257,0.27,3,0.004,0.063,Normal
1,1,3.74,30.0,-0.59,0.263,0.27,3,0.004,0.06,Normal
1,1,8.07,30.0,1.09,0.268,0.299,3,0.001,0.07,Normal
1,1,7.64,30.0,1.04,0.258,0.275,3,0.002,0.066,Normal
1,1,7.22,30.0,1.23,0.256,0.292,3,0.005,0.068,Normal
1,1,8.33,30.0,1.03,0.263,0.281,3,0.002,0.065,Normal
1,1,7.62,30.0,1.27,0.272,0.3,3,0.003,0.066,Normal
1,1,7.2,30.0,0.88,0.267,0.3,3,0.005,0.066,Normal
1,1,6.39,30.0,1.31,0.251,0.263,3,0.002,0.061,Normal
1,1,7.68,30.0,2.36,0.26,0.3,3,0.003,0.059,Normal
1,1,6.73,30.0,1.97,0.272,0.281,3,0.001,0.057,Normal
1,1,7.05,30.0,1.33,0.259,0.296,3,0.001,0.059,Normal
1,1,5.46,30.0,1.18,0.26,0.273,3,0.003,0.059,Normal
1,1,2.86,30.0,0.92,0.262,0.262,3,0.0,0.057,Normal
1,1,3.09,30.0,1.56,0.265,0.269,3,0.004,0.059,Normal
1,1,3.0,30.0,1.41,0.26,0.278,3,0.002,0.054,Normal
1,1,2.61,30.0,1.07,0.257,0.278,3,0.004,0.052,Normal
1,1,4.63,30.0,1.01,0.255,0.287,3,0.002,0.057,Normal
1,1,4.59,30.0,0.72,0.267,0.277,3,0.004,0.065,Normal
1,1,3.83,30.0,2.93,0.258,0.242,3,0.002,0.054,Normal
1,1,2.81,30.0,3.23,0.265,0.268,3,0.002,0.049,Normal
1,1,2.46,30.0,-0.06,0.263,0.272,3,0.004,0.063,Normal
1,1,2.82,30.0,0.52,0.276,0.254,3,0.004,0.063,Normal
1,1,2.77,30.0,4.95,0.254,0.211,3,0.001,0.062,Normal
1,1,10.46,30.0,11.38,0.292,0.293,3,0.005,0.056,Normal
1,1,7.83,30.0,9.08,0.288,0.302,3,0.005,0.057,Normal
1,1,5.7,30.0,3.05,0.264,0.26,3,0.004,0.061,Normal
1,1,3.12,30.0,2.19,0.266,0.287,3,0.004,0.061,Normal
1,1,-2.33,30.0,1.67,0.28,0.269,3,0.004,0.06,Normal
